food_number,food_name,cal_per_hundred
4086,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで　,177
4041,だいず　［豆腐・油揚げ類］　がんもどき　　,228
4042,だいず　［豆腐・油揚げ類］　凍り豆腐　乾　,536
4087,だいず　［豆腐・油揚げ類］　凍り豆腐　水煮　,115
4043,だいず　［豆腐・油揚げ類］　豆腐よう　　,189
4044,だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し　,126
4045,だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き　,139
4088,だいず　［豆腐・油揚げ類］　ろくじょう豆腐　　,347
4046,だいず　［納豆類］　糸引き納豆　　,200
4047,だいず　［納豆類］　挽きわり納豆　　,194
4048,だいず　［納豆類］　五斗納豆　　,227
4049,だいず　［納豆類］　寺納豆　　,271
4051,だいず　［その他］　おから　生　,111
4089,だいず　［その他］　おから　乾燥　,421
4052,だいず　［その他］　豆乳　豆乳　,46
4053,だいず　［その他］　豆乳　調製豆乳　,64
4054,だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー　,60
4055,だいず　［その他］　大豆たんぱく　粒状大豆たんぱく　　,360
4056,だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく　　,361
4057,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ　,388
4090,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ　,388
4058,だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく　　,383
4059,だいず　［その他］　湯葉　生　　,231
4060,だいず　［その他］　湯葉　干し　乾　,530
4091,だいず　［その他］　湯葉　干し　湯戻し　,161
4061,だいず　［その他］　金山寺みそ　　　,256
4062,だいず　［その他］　ひしおみそ　　　,206
4063,だいず　［その他］　テンペ　　　,202
4064,つるあずき　全粒　乾　　　,348
4092,つるあずき　全粒　ゆで　　　,159
4065,ひよこまめ　全粒　乾　　　,374
4066,ひよこまめ　全粒　ゆで　　　,171
4067,ひよこまめ　全粒　フライ　味付け　　　,419
4068,べにばないんげん　全粒　乾　　　,332
4069,べにばないんげん　全粒　ゆで　　　,121
4070,らいまめ　全粒　乾　　　,351
4093,らいまめ　全粒　ゆで　　　,152
4071,りょくとう　全粒　乾　　　,354
4072,りょくとう　全粒　ゆで　　　,137
4073,レンズまめ　全粒　乾　　　,352
4094,レンズまめ　全粒　ゆで　　　,170
5001,アーモンド　乾　　　,587
5002,アーモンド　フライ 味付け　　　,606
5040,アーモンド　いり　無塩　　　,608
5003,あさ　乾　　　,463
5041,あまに　いり　,564
5004,えごま　乾　　　,544
5005,カシューナッツ　フライ　味付け　　　,576
5006,かぼちゃ　いり　味付け　　　,574
5007,かや　いり　　　,665
5008,ぎんなん　生　　　,171
5009,ぎんなん　ゆで　　　,174
5010,（くり類）　日本ぐり　生　　,164
5011,（くり類）　日本ぐり　ゆで　　,167
5012,（くり類）　日本ぐり　甘露煮　　,238
5013,（くり類）　中国ぐり　甘ぐり　　,222
5014,くるみ　いり　　　,674
5015,けし　乾　　　,567
5016,ココナッツ　ココナッツパウダー　　　　,668
5017,ごま　乾　　　,578
5018,ごま　いり　　　,599
5019,ごま　むき　　　,603
5042,ごま　ねり　　　,605
5020,しい　生　　　,252
5021,すいか　いり　味付け　　　,546
5022,とち　蒸し　　　,161
5023,はす　未熟　生　　　,85
5024,はす　成熟　乾　　　,344
5043,はす　成熟　ゆで　　　,133
5025,ひし　生　　　,190
5026,ピスタチオ　いり　味付け　　　,615
5027,ひまわり　フライ　味付け　　　,611
5028,ブラジルナッツ　フライ　味付け　　　,669
5029,ヘーゼルナッツ　フライ　味付け　　　,684
5030,ペカン　フライ　味付け　　　,702
5031,マカダミアナッツ　いり　味付け　　　,720
5032,まつ　生　　　,669
5033,まつ　いり　　　,690
5034,らっかせい　乾　大粒種　　,562
5044,らっかせい　乾　小粒種　　,562
5035,らっかせい　いり　大粒種　　,585
5045,らっかせい　いり　小粒種　　,585
5036,らっかせい　バターピーナッツ　　　,592
5037,らっかせい　ピーナッツバター　　　,640
6001,アーティチョーク　花らい　生　　　,48
6002,アーティチョーク　花らい　ゆで　　　,45
6003,あさつき　葉　生　　　,33
6004,あさつき　葉　ゆで　　　,39
6005,あしたば　茎葉　生　　　,33
6006,あしたば　茎葉　ゆで　　　,31
6007,アスパラガス　若茎　生　　　,22
6008,アスパラガス　若茎　ゆで　　　,24
6327,アスパラガス　若茎　油いため　　　,57
6009,アスパラガス　水煮缶詰　　　,22
6328,アロエ　葉　生　　　,3
6010,いんげんまめ　さやいんげん　若ざや　生　　,23
6011,いんげんまめ　さやいんげん　若ざや　ゆで　　,26
6012,（うど類）　うど　茎　生　　,18
6013,（うど類）　うど　茎　水さらし　　,14
6014,（うど類）　やまうど　茎　生　　,19
6015,えだまめ　生　　　,135
6016,えだまめ　ゆで　　　,134
6017,えだまめ　冷凍　　　,159
6018,エンダイブ　葉　生　　　,15
6019,（えんどう類）　トウミョウ　茎葉　生　　,27
6329,（えんどう類）　トウミョウ　芽ばえ　生　　,24
6330,（えんどう類）　トウミョウ　芽ばえ　ゆで　　,27
6331,（えんどう類）　トウミョウ　芽ばえ　油いため　　,82
6020,（えんどう類）　さやえんどう　若ざや　生　　,36
6021,（えんどう類）　さやえんどう　若ざや　ゆで　　,34
6022,（えんどう類）　スナップえんどう　若ざや　生　　,43
6023,（えんどう類）　グリンピース　生　　,93
6024,（えんどう類）　グリンピース　ゆで　　,110
6025,（えんどう類）　グリンピース　冷凍　　,98
6026,（えんどう類）　グリンピース　水煮缶詰　　,98
6027,おおさかしろな　葉　生　　　,13
6028,おおさかしろな　葉　ゆで　　　,17
6029,おおさかしろな　塩漬　　　,22
6030,おかひじき　茎葉　生　　　,17
6031,おかひじき　茎葉　ゆで　　　,17
6032,オクラ　果実　生　　　,30
6033,オクラ　果実　ゆで　　　,33
6034,かぶ　葉　生　　　,20
6035,かぶ　葉　ゆで　　　,22
6036,かぶ　根　皮つき　生　　　,20
6037,かぶ　根　皮つき　ゆで　　　,21
6038,かぶ　根　皮むき　生　　　,21
6039,かぶ　根　皮むき　ゆで　　　,22
6040,かぶ　漬物　塩漬　葉　,29
6041,かぶ　漬物　塩漬　根　皮つき　,23
6042,かぶ　漬物　塩漬　根　皮むき　,21
6043,かぶ　漬物　ぬかみそ漬　葉　,34
6044,かぶ　漬物　ぬかみそ漬　根　皮つき　,28
6045,かぶ　漬物　ぬかみそ漬　根　皮むき　,31
6046,（かぼちゃ類）　日本かぼちゃ　果実　生　　,49
