food_number,food_name,cal
03017,（でん粉糖類）　ぶどう糖　全糖　　,335
03018,（でん粉糖類）　ぶどう糖　含水結晶　　,336
03019,（でん粉糖類）　ぶどう糖　無水結晶　　,367
03020,（でん粉糖類）　果糖　　　,368
03026,（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖　　,276
03027,（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖　　,276
03028,（でん粉糖類）　異性化液糖　高果糖液糖　　,276
03029,（その他）　黒蜜　,199
03022,（その他）　はちみつ　,294
03023,（その他）　メープルシロップ　　　,257
04001,あずき　全粒　乾　　　,339
04002,あずき　全粒　ゆで　　　,143
04003,あずき　ゆで小豆缶詰　　　,218
04004,あずき　あん　こしあん　　,155
04005,あずき　あん　さらしあん　　,385
04006,あずき　あん　つぶしあん　　,244
04007,いんげんまめ　全粒　乾　　　,333
04008,いんげんまめ　全粒　ゆで　　　,143
04009,いんげんまめ　うずら豆　,237
04010,いんげんまめ　こしあん　　　,155
04011,いんげんまめ　豆きんとん　　　,249
04012,えんどう　全粒　青えんどう　乾　　,352
04074,えんどう　全粒　赤えんどう　乾　　,352
04013,えんどう　全粒　青えんどう　ゆで　　,148
04075,えんどう　全粒　赤えんどう　ゆで　　,148
04014,えんどう　グリンピース（揚げ豆）　　　,423
04015,えんどう　塩豆　　　,364
04016,えんどう　うぐいす豆　,240
04017,ささげ　全粒　乾　　　,336
04018,ささげ　全粒　ゆで　　　,145
04019,そらまめ　全粒　乾　　　,348
04020,そらまめ　フライビーンズ　　　,472
04021,そらまめ　おたふく豆　,251
04022,そらまめ　ふき豆　,263
04076,そらまめ　しょうゆ豆　,196
04023,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　乾　,422
04077,だいず　［全粒・全粒製品］　全粒　国産　黒大豆　乾　,414
04024,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　ゆで　,176
04025,だいず　［全粒・全粒製品］　全粒　米国産　黄大豆　乾　,433
04026,だいず　［全粒・全粒製品］　全粒　中国産　黄大豆　乾　,422
04027,だいず　［全粒・全粒製品］　全粒　ブラジル産　黄大豆　乾　,451
04078,だいず　［全粒・全粒製品］　いり大豆　黄大豆　,439
04079,だいず　［全粒・全粒製品］　いり大豆　黒大豆　,442
04080,だいず　［全粒・全粒製品］　いり大豆　青大豆　,435
04028,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆　　,140
04081,だいず　［全粒・全粒製品］　蒸し大豆　黄大豆 　,205
04029,だいず　［全粒・全粒製品］　きな粉　全粒大豆　黄大豆　,450
04082,だいず　［全粒・全粒製品］　きな粉　全粒大豆　青大豆　,431
04030,だいず　［全粒・全粒製品］　きな粉　脱皮大豆　黄大豆　,451
04083,だいず　［全粒・全粒製品］　大豆はいが　　,442
04031,だいず　［全粒・全粒製品］　ぶどう豆　,289
04032,だいず　［豆腐・油揚げ類］　木綿豆腐　,72
04033,だいず　［豆腐・油揚げ類］　絹ごし豆腐　　,56
04034,だいず　［豆腐・油揚げ類］　ソフト豆腐　　,59
04035,だいず　［豆腐・油揚げ類］　充てん豆腐　　,59
04036,だいず　［豆腐・油揚げ類］　沖縄豆腐　　,106
04037,だいず　［豆腐・油揚げ類］　ゆし豆腐　　,50
04038,だいず　［豆腐・油揚げ類］　焼き豆腐　　,88
04039,だいず　［豆腐・油揚げ類］　生揚げ　　,150
04040,だいず　［豆腐・油揚げ類］　油揚げ　生　,410
04084,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生　,288
04085,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き　,398
04086,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで　,177
04041,だいず　［豆腐・油揚げ類］　がんもどき　　,228
04042,だいず　［豆腐・油揚げ類］　凍り豆腐　乾　,536
04087,だいず　［豆腐・油揚げ類］　凍り豆腐　水煮　,115
